CleanedJuryData.csv,judge,type,code,jcp,age,gender,edu,,NOTES,,
37,PCD,civil,J,NCP,52,M,16,,,,
37,PCD,civil,CP,CP,62,F,10,,,,
37,PCD,civil,PD,NCP,58,F,16,,,,
37,PCD,civil,CP,CP,52,M,12,,,,
37,PCD,civil,CP,CP,22,M,16,,,,
37,PCD,civil,CP,CP,51,F,13,,,,
37,PCD,civil,J,NCP,45,M,11,,,,
37,PCD,civil,CP,CP,53,M,16,,,,
37,PCD,civil,NCP,NCP,42,M,16,,,,
37,PCD,civil,NCP,NCP,61,F,20,,,,
37,PCD,civil,NCP,NCP,30,F,22,,,,
37,PCD,civil,CP,CP,40,F,17,,,,
37,PCD,civil,NCP,NCP,38,M,15,,,,
37,PCD,civil,NCP,NCP,63,F,12,,,,
37,PCD,civil,NCP,NCP,28,F,12,,,,
37,PCD,civil,NCP,NCP,62,F,15,,,,
37,PCD,civil,NCP,NCP,65,M,16,,,,
37,PCD,civil,NCP,NCP,50,F,14,,,,
37,PCD,civil,NCP,NCP,59,M,15,,,,
37,PCD,civil,NCP,NCP,39,F,13,,,,
37,PCD,civil,NCP,NCP,31,F,18,,,,
37,PCD,civil,NCP,NCP,46,F,15,,,,
37,PCD,civil,NCP,NCP,45,F,13,,,,
37,PCD,civil,NCP,NCP,58,F,14,,,,
37,PCD,civil,NCP,NCP,39,M,17,,,,
37,PCD,civil,NCP,NCP,47,F,12,,,,
37,PCD,civil,NCP,NCP,52,M,14,,,,
37,PCD,civil,NCP,NCP,41,M,12,,,,
37,PCD,civil,NCP,NCP,38,F,12,,,,
37,PCD,civil,NCP,NCP,56,M,14,,,,
37,PCD,civil,NCP,NCP,55,F,12,,,,
37,PCD,civil,NCP,NCP,57,F,13,,,,
37,PCD,civil,NCP,NCP,51,F,17,,,,
37,PCD,civil,NCP,NCP,35,M,21,,,,
37,PCD,civil,NCP,NCP,30,F,16,,,,
37,PCD,civil,NCP,NCP,52,M,15,,,,
37,PCD,civil,NCP,NCP,41,M,12,,,,
37,PCD,civil,NCP,NCP,23,M,16,,,,
37,PCD,civil,NCP,NCP,46,M,13,,,,
37,PCD,civil,NCP,NCP,41,M,16,,,,
37,PCD,civil,NCP,NCP,52,F,14,,,,
37,PCD,civil,NCP,NCP,50,M,22,,,,
37,PCD,civil,NCP,NCP,26,M,17,,,,
37,PCD,civil,NCP,NCP,35,F,17,,,,
37,PCD,civil,NCP,NCP,57,F,12,,,,
37,PCD,civil,NCP,NCP,37,M,14,,,,
37,PCD,civil,NCP,NCP,46,F,16,,,,
37,PCD,civil,NCP,NCP,48,F,17,,,,
38,SRU,civil,PP,NCP,55,M,20,,,,
38,SRU,civil,PP,NCP,39,M,16,,,,
38,SRU,civil,CP,CP,46,F,18,,,,
38,SRU,civil,CP,CP,22,M,13,,,,
38,SRU,civil,PD,NCP,47,F,15,,,,
38,SRU,civil,PP,NCP,58,F,12,,,,
38,SRU,civil,CP,CP,57,M,17,,,,
38,SRU,civil,J,NCP,33,F,16,,,,
38,SRU,civil,J,NCP,60,M,12,,,,
38,SRU,civil,PP,NCP,40,M,14,,,,
38,SRU,civil,J,NCP,40,M,22,,,,
38,SRU,civil,PD,NCP,21,F,13,,,,
38,SRU,civil,J,NCP,48,F,22,,,,
38,SRU,civil,PD,NCP,49,M,18,,,,
38,SRU,civil,J,NCP,61,F,16,,,,
38,SRU,civil,CP,CP,44,F,21,,,,
38,SRU,civil,J,NCP,36,M,10,,,,
38,SRU,civil,J,NCP,51,M,19,,,,
38,SRU,civil,CP,CP,60,M,22,,,,
38,SRU,civil,J,NCP,57,M,16,,,,
38,SRU,civil,CP,CP,53,M,12,,,,
38,SRU,civil,CP,CP,38,M,16,,,,
38,SRU,civil,CP,CP,45,F,12,,,,
38,SRU,civil,CP,CP,48,F,18,,,,
38,SRU,civil,J,NCP,49,M,18,,,,
38,SRU,civil,CP,CP,60,F,12,,,,
38,SRU,civil,PD,NCP,40,F,12,,,,
38,SRU,civil,NI,NI,49,F,17,,,,
38,SRU,civil,NI,NI,51,F,12,,,,
38,SRU,civil,NI,NI,52,M,22,,,,
38,SRU,civil,NI,NI,50,M,17,,,,
38,SRU,civil,NI,NI,55,F,16,,,,
38,SRU,civil,NI,NI,58,F,16,,,,
38,SRU,civil,NI,NI,47,M,16,,,,
38,SRU,civil,NI,NI,46,F,14,,,,
38,SRU,civil,NI,NI,51,F,14,,,,
38,SRU,civil,NI,NI,59,M,18,,,,
38,SRU,civil,NI,NI,42,F,17,,,,
38,SRU,civil,NI,NI,30,M,11,,,,
38,SRU,civil,NI,NI,56,M,13,,,,
38,SRU,civil,NI,NI,51,F,14,,,,
38,SRU,civil,NI,NI,59,F,18,,,,
38,SRU,civil,NI,NI,75,M,19,,,,
38,SRU,civil,NI,NI,56,M,13,,,,
38,SRU,civil,NI,NI,35,M,16,,,,
38,SRU,civil,NI,NI,47,F,18,,,,
38,SRU,civil,NI,NI,43,F,16,,,,
38,SRU,civil,NI,NI,32,M,16,,,,
38,SRU,civil,NI,NI,53,F,12,,,,
